acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,total_acc,total_gyro,roll_avg_acc_X,roll_avg_acc_Y,roll_avg_acc_Z,roll_avg_gyro_X,roll_avg_gyro_Y,roll_avg_gyro_Z,tlt_X,tlt_Y,Still_Time,fall
-0.79,4.18,8.86,-0.3,0.06,0.18,9.82,0.36,-1.39,4.69,8.35,-0.14,0.05,0.08,25.24,-5.1,55254.0,0.0
-1.96,5.28,8.23,-0.34,-0.17,-0.02,9.97,0.39,-1.27,4.58,8.45,-0.17,0.05,0.1,32.69,-13.37,55458.0,0.0
-1.44,-0.85,6.59,-0.92,1.6,0.33,6.8,1.88,-1.41,4.72,8.4,-0.21,0.0,0.07,-7.33,-12.36,55662.0,0.0
-8.99,0.57,1.58,-0.32,4.3,-1.66,9.14,4.62,-1.41,3.61,8.04,-0.35,0.32,0.13,19.7,-80.04,55866.0,0.0
-13.12,-2.03,0.75,-1.28,0.23,-2.11,13.3,2.48,-2.93,3.0,6.75,-0.34,1.12,-0.23,-69.66,-86.72,56070.0,0.0
-9.58,-2.21,-1.45,-1.34,-0.58,-0.47,9.94,1.53,-4.97,2.0,5.55,-0.53,0.94,-0.61,-123.24,-98.6,56274.0,0.0
-8.71,-3.27,-3.39,0.7,0.52,0.4,9.9,0.96,-5.89,1.15,4.15,-0.69,0.64,-0.58,-136.09,-111.3,56478.0,0.0
-7.94,-3.67,-3.7,0.6,0.75,0.25,9.5,0.99,-6.45,0.27,2.64,-0.41,0.61,-0.38,-135.26,-115.0,56682.0,0.0
-7.93,-4.09,-3.84,0.18,0.37,0.02,9.71,0.41,-6.75,-0.52,1.37,-0.21,0.64,-0.26,-133.2,-115.86,56886.0,0.0
-6.76,-5.79,-4.3,0.08,-0.34,-0.76,9.89,0.83,-6.99,-1.23,0.33,-0.13,0.59,-0.2,-126.6,-122.48,57090.0,0.0
-8.14,-3.95,-4.37,-0.01,0.33,-0.7,10.05,0.77,-6.94,-2.15,-0.6,-0.09,0.4,-0.31,-137.88,-118.21,57294.0,0.0
-8.43,-2.87,-2.59,0.43,0.77,0.35,9.28,0.94,-7.18,-2.51,-1.35,-0.07,0.39,-0.39,-132.14,-107.09,57498.0,0.0
-10.3,-3.2,-3.65,0.71,0.51,1.41,11.39,1.65,-7.43,-2.58,-1.6,0.03,0.46,-0.24,-138.76,-109.51,57702.0,0.0
-12.49,-4.98,-4.2,-1.15,-0.96,1.89,14.09,2.42,-8.01,-2.7,-2.01,0.16,0.47,0.09,-130.18,-108.59,57906.0,0.0
-5.48,-4.41,-2.09,-0.54,-0.27,1.4,7.34,1.52,-8.9,-3.16,-2.45,-0.1,0.19,0.45,-115.31,-110.85,58110.0,0.0
-7.96,-5.48,-4.63,1.54,1.85,-1.63,10.72,2.91,-8.22,-3.41,-2.38,-0.19,0.1,0.64,-130.18,-120.18,58314.0,0.0
-12.12,-0.63,-6.79,0.47,0.26,-2.16,13.91,2.23,-8.17,-3.82,-2.83,0.16,0.45,0.18,-174.69,-119.27,58518.0,0.0
-7.69,-1.07,-4.67,-0.01,0.23,0.52,9.06,0.57,-8.96,-3.19,-3.62,0.22,0.41,-0.29,-167.05,-121.23,214.0,0.0
-8.67,-3.21,-3.98,-0.65,-0.69,0.95,10.06,1.34,-8.71,-2.76,-3.83,0.18,0.37,-0.12,-141.16,-114.67,418.0,0.0
-10.86,-4.07,-4.68,-0.82,-1.65,1.67,12.51,2.49,-8.7,-2.85,-3.86,0.01,0.16,0.09,-139.04,-113.32,622.0,0.0
-10.96,-2.02,-3.46,-1.42,-2.84,1.37,11.67,3.45,-9.13,-3.09,-4.02,-0.15,-0.2,0.41,-149.69,-107.51,826.0,0.0
-4.13,1.76,1.65,0.76,-2.26,1.76,4.79,2.96,-9.5,-2.88,-3.91,-0.41,-0.73,0.6,46.73,-68.18,1030.0,0.0
-0.16,0.7,1.2,-0.67,1.1,0.22,1.4,1.31,-8.42,-1.95,-2.8,-0.17,-1.04,0.83,30.32,-7.73,1234.0,0.0
-10.92,-3.01,2.26,-1.01,2.72,-3.84,11.55,4.81,-6.77,-1.42,-2.0,-0.27,-0.61,0.71,-53.09,-78.3,1438.0,0.0
-15.36,-1.99,-0.06,1.05,2.21,-2.05,15.48,3.19,-7.6,-1.74,-1.15,-0.42,0.06,-0.2,-91.65,-90.21,1642.0,0.0
-10.12,-2.64,-3.47,1.36,1.39,1.21,11.02,2.29,-9.15,-1.79,-0.93,-0.13,0.49,-0.57,-142.81,-108.94,1846.0,0.0
-11.4,-7.17,-3.73,-1.98,-0.15,3.32,13.97,3.87,-9.35,-1.96,-1.44,0.17,0.67,-0.21,-117.48,-108.11,2050.0,0.0
-4.4,-7.1,-3.02,-1.37,-0.71,0.94,8.88,1.81,-9.76,-3.0,-1.9,-0.26,0.51,0.49,-113.04,-124.49,2254.0,0.0
-8.76,-5.24,-4.19,-0.06,1.13,-2.78,11.03,3.0,-8.68,-3.82,-2.12,-0.48,0.26,0.58,-128.62,-115.53,2458.0,0.0
-13.42,-0.85,-4.85,1.11,0.66,-1.94,14.29,2.33,-8.7,-4.1,-2.53,-0.4,0.43,-0.09,-170.08,-109.87,2662.0,0.0
-14.2,-1.37,-4.21,0.71,1.06,0.23,14.88,1.29,-9.64,-3.45,-3.0,-0.09,0.48,-0.46,-162.02,-106.52,2866.0,0.0
-12.46,-5.65,-5.38,-0.3,1.29,2.64,14.7,2.95,-10.56,-3.04,-3.24,0.07,0.6,-0.32,-133.58,-113.35,3070.0,0.0
-6.35,-5.32,-3.37,-1.14,-0.76,2.82,8.95,3.13,-10.94,-3.56,-3.67,-0.01,0.73,0.27,-122.36,-117.96,3274.0,0.0
-5.07,-3.63,-4.16,0.2,1.0,-3.88,7.5,4.01,-10.02,-3.91,-3.61,-0.24,0.44,0.78,-138.94,-129.37,3478.0,0.0
-12.38,-3.61,-4.8,0.41,0.08,-2.64,13.76,2.67,-9.03,-3.86,-3.72,-0.15,0.55,-0.15,-143.05,-111.19,3682.0,0.0
-10.51,-0.36,-4.88,0.88,0.22,-1.51,11.59,1.76,-9.7,-3.81,-3.94,-0.04,0.45,-0.65,-175.79,-114.92,3886.0,0.0
-11.93,-3.62,-4.43,-0.79,-0.46,2.78,13.23,2.92,-9.86,-3.12,-4.12,0.15,0.41,-0.82,-140.71,-110.35,4090.0,0.0
-9.69,-6.63,-4.68,-1.32,-0.37,2.99,12.64,3.29,-10.28,-3.22,-4.19,-0.04,0.23,-0.1,-125.22,-115.78,4294.0,0.0
-3.54,-4.23,-2.5,-0.65,-0.4,1.04,6.05,1.29,-10.16,-3.9,-4.28,-0.3,0.11,0.52,-120.55,-125.21,4498.0,0.0
-10.08,-3.45,-4.45,-0.16,0.69,-3.66,11.54,3.73,-8.83,-3.97,-3.93,-0.37,0.01,0.62,-142.24,-113.82,4702.0,0.0
-9.86,-2.35,-4.84,1.0,0.58,-1.35,11.23,1.78,-9.08,-3.86,-4.03,-0.33,0.15,-0.24,-154.11,-116.14,4906.0,0.0
-13.59,-1.66,-4.53,0.46,0.75,0.01,14.42,0.88,-9.24,-3.56,-4.19,-0.06,0.23,-0.46,-159.84,-108.42,5110.0,1.0
-9.65,-1.57,-4.32,1.11,0.5,-1.08,10.69,1.63,-10.11,-3.18,-4.26,0.04,0.34,-0.36,-160.03,-114.1,7314.0,1.0
-9.97,-2.87,-4.73,-0.73,0.17,2.42,11.41,2.53,-10.02,-2.86,-4.27,0.25,0.37,-0.51,-148.81,-115.39,214.0,0.0
-8.35,-4.8,-3.67,-1.16,0.07,1.96,10.3,2.28,-10.01,-2.86,-4.36,0.06,0.33,0.08,-127.41,-113.72,418.0,0.0
-5.26,-5.51,-3.46,-0.66,-0.38,0.17,8.36,0.78,-9.68,-3.25,-4.22,-0.19,0.28,0.45,-122.14,-123.35,622.0,0.0
-9.77,-3.1,-6.45,1.47,0.91,-2.24,12.11,2.83,-8.79,-3.7,-4.07,-0.28,0.14,0.4,-154.32,-123.41,826.0,0.0
-8.77,-2.05,-5.37,0.58,0.19,-1.09,10.48,1.25,-8.99,-3.58,-4.55,0.07,0.3,-0.13,-159.05,-121.47,1030.0,0.0
-13.52,-4.38,-5.95,0.1,0.53,0.48,15.41,0.72,-8.94,-3.27,-4.71,0.17,0.28,-0.32,-143.65,-113.74,1234.0,0.0
-9.17,-5.22,-4.04,-0.77,0.41,2.11,11.29,2.28,-9.86,-3.49,-4.96,0.16,0.33,-0.16,-127.73,-113.78,1438.0,0.0
-5.75,-4.73,-3.25,-0.9,-0.33,1.34,8.12,1.64,-9.72,-3.84,-4.77,-0.03,0.34,0.29,-124.45,-119.46,1642.0,0.0
-7.74,-3.34,-3.44,0.18,0.37,-2.8,9.1,2.83,-8.93,-4.02,-4.47,-0.2,0.21,0.5,-135.83,-113.96,1846.0,0.0
-8.55,-2.77,-4.69,-0.16,-0.26,-1.66,10.14,1.69,-8.69,-3.88,-4.26,-0.13,0.24,-0.16,-149.42,-118.77,2050.0,0.0
-10.56,-1.86,-5.57,0.51,0.31,-0.83,12.08,1.02,-8.66,-3.66,-4.35,-0.13,0.14,-0.46,-161.54,-117.8,2254.0,0.0
-9.2,-5.33,-6.17,-0.57,-0.19,2.92,12.29,2.98,-9.04,-3.3,-4.59,-0.01,0.17,-0.53,-139.19,-123.86,2458.0,0.0
-7.73,-5.54,-3.96,-1.29,0.08,1.79,10.3,2.2,-9.07,-3.71,-4.91,-0.12,0.1,0.16,-125.5,-117.11,2662.0,0.0
-6.04,-7.75,-4.93,-0.79,-0.4,-0.69,10.99,1.12,-8.8,-4.07,-4.72,-0.35,0.1,0.48,-122.47,-129.21,2866.0,0.0
-8.92,-1.99,-6.39,-0.28,-0.03,-1.87,11.16,1.89,-8.25,-4.81,-4.76,-0.44,0.0,0.25,-162.67,-125.62,3070.0,0.0
-9.08,-1.47,-5.09,1.36,0.66,-1.51,10.51,2.13,-8.38,-4.25,-5.09,-0.41,-0.01,-0.18,-163.91,-119.26,3274.0,0.0
-12.68,-1.1,-4.72,-0.44,0.3,1.94,13.57,2.01,-8.52,-3.69,-5.09,-0.06,0.13,-0.44,-166.87,-110.42,3478.0,0.0
-8.65,-6.25,-5.62,-1.64,-0.03,2.69,12.06,3.15,-9.36,-3.17,-5.01,-0.13,0.16,0.04,-131.98,-123.01,3682.0,0.0
-4.62,-5.02,-3.36,-0.61,-0.33,0.97,7.61,1.2,-9.21,-3.79,-5.14,-0.43,0.12,0.57,-123.78,-126.02,3886.0,0.0
-9.63,-2.83,-7.45,2.37,0.74,-2.51,12.5,3.53,-8.3,-4.03,-4.78,-0.47,0.03,0.65,-159.17,-127.71,4090.0,0.0
-9.87,-2.93,-4.98,0.72,0.42,-1.59,11.44,1.79,-8.56,-3.79,-5.31,0.1,0.17,0.02,-149.53,-116.79,4294.0,0.0
-14.86,-3.38,-7.37,0.24,0.69,-0.13,16.93,0.74,-8.82,-3.62,-5.25,0.22,0.22,-0.31,-155.33,-116.37,4498.0,0.0
-8.7,-5.5,-5.17,-0.99,-0.19,3.07,11.52,3.23,-10.03,-3.57,-5.67,0.23,0.32,-0.27,-133.23,-120.74,4702.0,0.0
-6.06,-5.13,-3.17,-1.09,0.01,1.11,8.55,1.56,-9.77,-3.96,-5.57,-0.02,0.22,0.4,-121.7,-117.6,4906.0,0.0
-9.61,-2.9,-4.65,1.52,-0.01,-2.99,11.06,3.35,-9.03,-4.19,-5.09,-0.23,0.17,0.54,-148.04,-115.81,5110.0,1.0
-11.22,0.12,-6.55,0.23,0.11,-1.48,12.99,1.5,-9.14,-3.94,-5.0,0.12,0.14,-0.16,178.91,-120.27,7314.0,1.0
-7.53,-2.32,-4.17,0.6,0.46,-1.68,8.91,1.85,-9.56,-3.12,-5.31,0.14,0.13,-0.43,-150.94,-118.95,214.0,0.0
